CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4973-99518,Male,0,No,Yes,39,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,57.91,2206.93,No
3319-86194,Male,1,No,No,38,Yes,Yes,DSL,No,Yes,No internet service,No,No,No,One year,Yes,Credit card (automatic),49.86,1944.52,No
6674-95797,Female,1,Yes,Yes,65,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,Yes,Two year,Yes,Credit card (automatic),93.0,5936.27,No
6221-64269,Female,1,No,No,19,Yes,No phone service,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),90.98,1748.04,Yes
2626-94625,Male,1,No,No,2,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),38.59,77.27,No
3312-35205,Male,1,No,No,36,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,113.35,3973.73,Yes
9885-73048,Male,1,Yes,No,39,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,105.32,4189.34,No
1934-40494,Female,1,No,No,29,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),29.4,818.53,No
1200-53052,Female,1,No,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,38.66,2649.05,No
9114-14873,Female,0,No,No,40,No,No phone service,DSL,Yes,Yes,Yes,No,No internet service,No,One year,No,Credit card (automatic),49.01,2057.59,No
9022-47858,Male,0,No,No,23,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),73.94,1686.27,No
6496-91744,Male,1,No,No,13,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.92,585.76,No
7573-66964,Female,1,No,Yes,66,Yes,No,No,Yes,Yes,No,No,No internet service,No,Two year,No,Electronic check,23.88,1537.19,No
5572-83857,Male,0,No,No,12,Yes,Yes,No,No internet service,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),63.54,732.38,No
7438-16824,Female,1,Yes,No,23,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,44.45,1073.05,No
8729-13837,Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,86.95,2095.33,Yes
1654-32651,Male,0,No,Yes,27,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No,One year,Yes,Electronic check,50.64,1301.5,No
5578-60556,Female,0,Yes,Yes,71,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),21.91,1497.77,No
8319-85965,Female,1,No,Yes,2,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,One year,No,Electronic check,49.53,98.25,No
