Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,Yes,39,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,57.91,2206.93,No
Male,1,No,No,38,Yes,Yes,DSL,No,Yes,No internet service,No,No,No,One year,Yes,Credit card (automatic),49.86,1944.52,No
Female,1,Yes,Yes,65,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,Yes,Two year,Yes,Credit card (automatic),93.0,5936.27,No
Female,1,No,No,19,Yes,No phone service,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),90.98,1748.04,Yes
Male,1,No,No,2,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),38.59,77.27,No
Male,1,No,No,36,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,113.35,3973.73,Yes
Male,1,Yes,No,39,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,105.32,4189.34,No
Female,1,No,No,29,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),29.4,818.53,No
Female,1,No,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,38.66,2649.05,No
Female,0,No,No,40,No,No phone service,DSL,Yes,Yes,Yes,No,No internet service,No,One year,No,Credit card (automatic),49.01,2057.59,No
Male,0,No,No,23,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),73.94,1686.27,No
Male,1,No,No,13,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.92,585.76,No
Female,1,No,Yes,66,Yes,No,No,Yes,Yes,No,No,No internet service,No,Two year,No,Electronic check,23.88,1537.19,No
Male,0,No,No,12,Yes,Yes,No,No internet service,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),63.54,732.38,No
Female,1,Yes,No,23,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,44.45,1073.05,No
Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,86.95,2095.33,Yes
Male,0,No,Yes,27,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No,One year,Yes,Electronic check,50.64,1301.5,No
Female,0,Yes,Yes,71,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),21.91,1497.77,No
Female,1,No,Yes,2,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,One year,No,Electronic check,49.53,98.25,No
Female,0,Yes,No,19,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),73.95,1427.94,Yes
Female,1,Yes,Yes,53,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,62.11,3258.0,No
Female,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Electronic check,111.93,2854.71,No
Male,0,Yes,No,50,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No,No internet service,One year,No,Electronic check,46.74,2254.86,No
Male,1,Yes,Yes,52,Yes,No,No,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),100.87,5283.47,No
Female,0,No,No,54,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,No,Two year,No,Mailed check,20.08,1096.44,No
Male,0,Yes,No,34,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),58.89,2069.98,No
Female,1,No,No,20,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,No,Mailed check,92.63,1926.7,Yes
Male,0,No,No,15,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,112.18,1627.23,No
Female,1,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),98.82,1335.17,No
Female,1,Yes,No,44,Yes,No,DSL,No,No,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),114.36,4961.07,No
Male,0,Yes,No,13,Yes,No,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,32.22,432.6,Yes
Female,1,Yes,Yes,42,Yes,No,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,No,Electronic check,75.47,3306.14,Yes
Male,0,No,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,27.46,796.92,No
Female,0,No,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),68.57,3650.37,No
Male,0,No,Yes,64,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),102.08,6544.1,Yes
Female,1,No,Yes,22,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),52.69,1183.59,Yes
Female,0,No,Yes,5,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No,One year,Yes,Electronic check,38.17,181.9,No
Male,0,No,Yes,12,No,No,Fiber optic,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,100.35,1236.92,No
Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),103.44,6954.25,No
Female,1,Yes,No,13,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,One year,No,Credit card (automatic),41.55,533.71,No
Male,0,Yes,Yes,6,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,65.54,399.98,Yes
Male,1,Yes,No,14,Yes,No phone service,No,No,No internet service,No,Yes,Yes,No internet service,One year,No,Mailed check,59.08,833.67,No
Male,0,No,No,57,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,74.34,4217.92,No
Male,1,Yes,No,36,Yes,No,No,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,108.32,3847.49,No
Male,0,No,No,41,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),59.07,2535.54,No
Female,1,Yes,No,48,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,60.01,3016.56,No
Male,1,Yes,No,53,Yes,Yes,No,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),34.94,1843.0,No
Male,0,No,Yes,60,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.31,2074.72,No
Male,1,No,Yes,9,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),101.28,904.29,No
Female,0,Yes,No,31,No,No,No,No,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Mailed check,108.07,3421.65,No
Female,0,No,No,65,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),75.38,4870.23,No
Female,1,No,Yes,23,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No internet service,One year,Yes,Mailed check,73.65,1701.5,No
Male,0,No,No,6,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,56.68,346.92,Yes
Male,0,Yes,No,55,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,One year,No,Credit card (automatic),35.47,1898.91,No
Female,0,No,No,15,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,47.8,731.81,Yes
