store_id,sku_id,date,day_of_week,month,is_holiday,price,promotion,temperature,inventory_level,competitor_price,store_traffic,units_sold
21,77,2024-05-04,5,5,0,14.58,1,84.9,59,16.91,758,52
28,52,2024-03-09,5,3,0,8.87,1,49.1,87,7.71,1378,52
29,83,2024-01-03,2,1,0,83.24,1,47.0,52,99.41,787,73
5,26,2023-06-06,1,6,0,104.96,1,83.9,85,129.07,663,77
7,73,2023-09-17,6,9,0,98.48,1,89.5,280,120.09,1372,74
11,98,2023-01-09,0,1,0,96.69,1,39.9,318,100.29,1379,69
4,80,2024-02-10,5,2,0,94.53,0,58.2,340,79.5,1624,30
30,11,2023-01-07,5,1,0,50.26,0,32.0,127,59.95,915,37
4,88,2024-02-02,4,2,0,141.01,1,57.8,383,134.6,315,50
7,38,2023-05-03,2,5,0,20.26,1,85.8,238,24.3,798,58
10,31,2023-11-09,3,11,0,34.71,1,66.5,171,35.63,431,63
2,90,2023-03-04,5,3,0,84.54,1,36.7,91,70.5,772,55
4,23,2023-10-09,0,10,0,53.45,0,63.2,54,51.15,1797,38
18,28,2023-02-09,3,2,0,22.48,1,53.5,399,28.38,1631,60
10,40,2023-01-23,0,1,0,113.22,1,44.4,389,110.18,1966,57
4,55,2024-01-18,3,1,0,13.44,0,61.9,290,11.13,520,26
19,1,2023-10-07,5,10,0,5.74,0,66.3,182,6.97,1256,35
18,19,2023-04-04,1,4,0,142.0,1,46.4,490,175.62,1840,78
22,94,2023-12-20,2,12,1,67.82,1,50.7,175,84.95,78,84
13,100,2023-08-18,4,8,0,86.32,1,83.9,337,75.19,1005,49
19,22,2023-04-30,6,4,0,147.97,0,72.3,346,132.85,525,23
19,16,2023-03-17,4,3,0,137.27,1,63.4,372,113.01,318,50
20,44,2024-04-02,1,4,0,75.95,0,61.3,224,75.49,1848,25
8,4,2023-11-04,5,11,0,57.32,1,70.2,56,50.41,1922,66
7,20,2024-04-15,0,4,0,84.96,0,79.3,18,98.03,1732,45
27,16,2024-03-18,0,3,0,45.33,0,57.8,230,45.05,467,33
11,2,2023-09-08,4,9,0,29.37,1,77.1,300,36.68,881,47
17,63,2023-12-14,3,12,0,92.46,0,51.5,275,82.47,146,30
16,19,2023-05-04,3,5,0,44.29,0,78.7,294,43.63,1482,17
26,43,2023-07-21,4,7,0,84.53,1,94.2,391,92.74,370,55
15,61,2023-01-04,2,1,0,21.86,0,52.2,36,26.82,1282,48
1,17,2023-03-09,3,3,0,21.62,0,61.2,243,22.6,402,27
22,44,2023-10-11,2,10,0,127.13,1,73.2,209,134.01,611,68
2,19,2023-04-07,4,4,0,126.63,1,71.5,489,119.48,1678,60
23,84,2023-08-15,1,8,0,26.4,1,94.3,323,30.83,1422,66
16,38,2024-02-25,6,2,0,70.5,0,47.2,39,89.64,1788,37
18,43,2024-05-01,2,5,0,124.86,0,85.7,400,101.07,1362,22
24,69,2024-04-07,6,4,0,26.26,0,61.5,436,26.61,787,31
11,4,2023-06-18,6,6,0,72.79,1,88.3,76,80.34,811,63
