concession_type,atc_code,drug_class,year,month,target,date,drug_id,lag_1,lag_12,rolling_mean_3,rolling_mean_6
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,7,11040.0,1991-07-01,A01_STOMATOLOGICAL PREPARATIONS,54299.0,18228.0,40482.333333333336,34736.666666666664
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,7,39753.0,1991-07-01,A01_STOMATOLOGICAL PREPARATIONS,11040.0,67877.0,26789.0,34013.333333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,8,15165.0,1991-08-01,A01_STOMATOLOGICAL PREPARATIONS,39753.0,15327.0,35030.666666666664,31101.833333333332
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,8,54405.0,1991-08-01,A01_STOMATOLOGICAL PREPARATIONS,15165.0,57011.0,21986.0,31234.166666666668
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,9,16898.0,1991-09-01,A01_STOMATOLOGICAL PREPARATIONS,54405.0,14775.0,36441.0,31615.0
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,9,61108.0,1991-09-01,A01_STOMATOLOGICAL PREPARATIONS,16898.0,55020.0,28822.666666666668,31926.666666666668
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,10,18141.0,1991-10-01,A01_STOMATOLOGICAL PREPARATIONS,61108.0,15380.0,44137.0,33061.5
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,10,65356.0,1991-10-01,A01_STOMATOLOGICAL PREPARATIONS,18141.0,57222.0,32049.0,34245.0
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,11,14604.0,1991-11-01,A01_STOMATOLOGICAL PREPARATIONS,65356.0,14371.0,48201.666666666664,38512.166666666664
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,11,52804.0,1991-11-01,A01_STOMATOLOGICAL PREPARATIONS,14604.0,52120.0,32700.333333333332,38418.666666666664
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,12,13691.0,1991-12-01,A01_STOMATOLOGICAL PREPARATIONS,52804.0,15028.0,44254.666666666664,38151.833333333336
